run,dataset,label,lmbda,iter,max_iter,bpp,mse,loss
gaussian_linear_linear_compressai_M16_lmbda32,gaussian,linear,32.0,18000,20000,2.989406108856201,0.02254967577753196,3.710995674133301
gaussian_linear_linear_compressai_M16_lmbda128,gaussian,linear,128.0,20000,20000,3.9892475605010986,0.005637911148363674,4.71090030670166
gaussian_linear_linear_compressai_M16_lmbda1024,gaussian,linear,1024.0,20000,20000,4.726366996765137,0.0020753061398843036,6.851480484008789
gaussian_linear_linear_compressai_M16_lmbda8192,gaussian,linear,8192.0,20000,20000,4.768916606903076,0.001983384368939204,21.016801834106445
gaussian_encR2_decR2_compressai_M16_lmbda32,gaussian,resblock(n=2),32.0,20000,20000,2.989170789718628,0.02258459106085426,3.7118778228759766
gaussian_encR2_decR2_compressai_M16_lmbda128,gaussian,resblock(n=2),128.0,20000,20000,3.986886978149414,0.005703114904457587,4.716885566711426
gaussian_encR2_decLinear_compressai_M16_lmbda32,gaussian,resblock(n=2)/linear,32.0,20000,20000,2.989492654800415,0.02254718914625774,3.711002826690674
gaussian_encR2_decLinear_compressai_M16_lmbda128,gaussian,resblock(n=2)/linear,128.0,20000,20000,3.989149808883667,0.005641553085291704,4.711268424987793
gaussian_encR2_decLinear_compressai_M16_lmbda1024,gaussian,resblock(n=2)/linear,1024.0,20000,20000,5.4858832359313965,0.0007090791477814676,6.21198034286499
gaussian_encR2_decLinear_compressai_M16_lmbda8192,gaussian,resblock(n=2)/linear,8192.0,20000,20000,6.776476860046387,0.00012271256127848124,7.78173828125
gaussian_rht_rht_compressai_M16_lmbda32,gaussian,rht,32.0,18000,20000,3.0209617614746094,0.022069932892896514,3.7271995544433594
gaussian_rht_rht_compressai_M16_lmbda128,gaussian,rht,128.0,20000,20000,3.997389078140259,0.005606905557209606,4.715073108673096
gaussian_rht_rht_compressai_M16_lmbda1024,gaussian,rht,1024.0,20000,20000,5.49041748046875,0.0007034267764531491,6.210726737976074
gaussian_rht_rht_compressai_M16_lmbda8192,gaussian,rht,8192.0,20000,20000,6.666172981262207,0.0001379580644423625,7.79632568359375
llama8b_linear_linear_compressai_M16_lmbda32,llama8b,linear,32.0,18000,20000,2.9310030937194824,0.023830151080439406,3.6501309871673584
llama8b_linear_linear_compressai_M16_lmbda128,llama8b,linear,128.0,20000,20000,3.927797794342041,0.005977800674681489,4.64937162399292
llama8b_linear_linear_compressai_M16_lmbda1024,llama8b,linear,1024.0,20000,20000,4.658602237701416,0.0022194233422433794,6.801836013793945
llama8b_linear_linear_compressai_M16_lmbda8192,llama8b,linear,8192.0,20000,20000,4.701689720153809,0.0021213438342800404,21.089859008789062
llama8b_encR2_decLinear_compressai_M16_lmbda32,llama8b,resblock(n=2)/linear,32.0,20000,20000,2.9276201725006104,0.023893409156859217,3.6486570835113525
llama8b_encR2_decLinear_compressai_M16_lmbda128,llama8b,resblock(n=2)/linear,128.0,20000,20000,3.9264185428619385,0.005980350672772491,4.6483001708984375
llama8b_encR2_decLinear_compressai_M16_lmbda1024,llama8b,resblock(n=2)/linear,1024.0,20000,20000,5.424907684326172,0.000750265806347329,6.149417877197266
llama8b_encR2_decLinear_compressai_M16_lmbda8192,llama8b,resblock(n=2)/linear,8192.0,20000,20000,6.754953384399414,0.00012132967760588551,7.692270278930664
llama8b_rht_rht_compressai_M16_lmbda32,llama8b,rht,32.0,18000,20000,2.9728269577026367,0.023346315725139385,3.677354097366333
llama8b_rht_rht_compressai_M16_lmbda128,llama8b,rht,128.0,20000,20000,3.947360038757324,0.0059403885433758795,4.664417743682861
llama8b_rht_rht_compressai_M16_lmbda1024,llama8b,rht,1024.0,20000,20000,5.439709663391113,0.0007467416559965969,6.160816669464111
llama8b_rht_rht_compressai_M16_lmbda8192,llama8b,rht,8192.0,20000,20000,6.614933013916016,0.00014635136588345073,7.745551586151123
