iter,Test Loss,Test MSE
1,0.12925779469497503,2.47630318642777
50000,0.00027793458087035103,0.005964444731132206
100000,9.623014165254063e-05,0.0023918465386090324
150000,5.012617922727713e-05,0.001037103164218204
200000,6.0194591787421814e-05,0.0013312214644572795
250000,4.734294078764378e-05,0.0010020513415748577
300000,4.38683532295272e-05,0.0009510200073167554
350000,7.480733385841631e-05,0.0014682136086995759
400000,3.094421252973234e-05,0.0006837877969103975
450000,3.90293919188025e-05,0.0009082249733222801
500000,3.138419486992916e-05,0.000669376400300043
550000,5.522780298542784e-05,0.0013730695392952775
600000,5.1360121777861425e-05,0.001166046275246616
650000,3.819890376757939e-05,0.0008121899399998449
700000,2.8295348801179897e-05,0.000622606273493826
750000,2.619036491830684e-05,0.000540918234970913
800000,3.2028099065541935e-05,0.0006952072592724534
850000,3.6436004565757686e-05,0.0007743522366981622
900000,5.7974974866965566e-05,0.0013890582257759516
950000,2.7446839475260276e-05,0.0005909094672116189
1000000,3.357615901359168e-05,0.000726207115626813
1050000,5.3235029309689706e-05,0.0010303934504648394
1100000,2.947429907624155e-05,0.0006292057020195592
1150000,5.457411692532332e-05,0.0012047558464858563
1200000,3.04503117376953e-05,0.0006348107867607697
1250000,2.800928887495502e-05,0.0006216970685621652
1300000,3.7162097738473674e-05,0.0007511785670567723
1350000,2.2452012642816045e-05,0.000469722861779773
1400000,3.2630827747766486e-05,0.0007211533663780146
1450000,2.610957260299074e-05,0.0005459312660261153
1500000,2.872498223405273e-05,0.000615716625433643
