iter,Test Loss,Test MSE,Best Loss,Best MSE
1,1.453354618370533,1.4467099107913004,1.453354618370533,1.4467099107913004
50000,0.010158571407897398,0.010109210455017621,0.010158571407897398,0.010109210455017621
100000,0.005713533800328151,0.005682682006253772,0.005713533800328151,0.005682682006253772
150000,0.004316102693672292,0.004302957863995737,0.004316102693672292,0.004302957863995737
200000,0.003755231234477833,0.0037483225499993027,0.003755231234477833,0.0037483225499993027
250000,0.0035786991484928875,0.0035705511294381737,0.0035786991484928875,0.0035705511294381737
300000,0.0033618816016241907,0.0033582479497659442,0.0033618816016241907,0.0033582479497659442
350000,0.003198311634128913,0.0031934733111687328,0.003198311634128913,0.0031934733111687328
400000,0.0030374551593558862,0.0030340770978436833,0.0030374551593558862,0.0030340770978436833
450000,0.0029248363167280332,0.0029199660574672887,0.0029248363167280332,0.0029199660574672887
500000,0.0027730500967008995,0.002771088823897967,0.0027730500967008995,0.002771088823897967
550000,0.002662044807919301,0.002657686383008606,0.002662044807919301,0.002657686383008606
600000,0.0026170793460914867,0.0026108779772613536,0.0026170793460914867,0.0026108779772613536
650000,0.0025369274385739116,0.0025336010509784753,0.0025369274385739116,0.0025336010509784753
700000,0.00258059119770769,0.002573934108635876,0.0025369274385739116,0.0025336010509784753
