module_name,module_type,original_shape,matrix_shape,padded_shape,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 160]",0,13,9408,320.0,41720.1328125,4.042981719970703,4.434537926498725,,,,5.114917803439312e-05,0.05514528974890709,0.0032360360492020845,0.6688
layer1.0.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,152465.375,4.104637993706597,4.135887993706597,,,,1.0695632226997986e-05,0.06114506721496582,0.0037511149421334267,0.2517
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,157565.625,4.242991129557292,4.274241129557292,,,,7.683438525418751e-06,0.06131383031606674,0.0037607375998049974,0.1735
layer1.1.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,154956.96875,4.172226799858941,4.203476799858941,,,,9.627761755837128e-06,0.06096981093287468,0.003725642105564475,0.1443
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,158026.171875,4.255484263102214,4.286734263102214,,,,7.2763878051773645e-06,0.06131529062986374,0.0037625522818416357,0.2203
layer2.0.conv1,Conv2d,"[128, 64, 3, 3]","[128, 576]","[128, 576]",0,0,73728,1152.0,313041.21875,4.230268266465929,4.245893266465929,,,,6.501594270957867e-06,0.06128144636750221,0.0037599545903503895,0.2063
layer2.0.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,627239.0,4.238111707899305,4.253736707899305,,,,4.326689577283105e-06,0.061115000396966934,0.003740041982382536,0.1738
layer2.0.downsample.0,Conv2d,"[128, 64, 1, 1]","[128, 64]","[128, 64]",0,0,8192,128.0,34335.41796875,4.175710201263428,4.191335201263428,,,,1.888621409307234e-05,0.061499953269958496,0.0037868618965148926,0.2717
layer2.1.conv1,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,627640.5,4.240834554036458,4.256459554036458,,,,4.37484141002642e-06,0.0611501969397068,0.0037468092050403357,0.1858
layer2.1.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,633303.8125,4.279241349962023,4.294866349962023,,,,3.3893875297508202e-06,0.06120878458023071,0.0037532139103859663,0.1623
layer3.0.conv1,Conv2d,"[256, 128, 3, 3]","[256, 1152]","[256, 1152]",0,0,294912,2304.0,1244702.125,4.21277576022678,4.22058826022678,,,,3.1571523777529364e-06,0.06110280379652977,0.0037418226711452007,0.2973
layer3.0.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,2517187.0,4.259879218207465,4.267691718207465,,,,2.348290308873402e-06,0.061153851449489594,0.0037434622645378113,0.2479
layer3.0.downsample.0,Conv2d,"[256, 128, 1, 1]","[256, 128]","[256, 128]",0,0,32768,256.0,141216.84375,4.301783561706543,4.309596061706543,,,,4.07271090807626e-06,0.06115719676017761,0.003752474207431078,0.2743
layer3.1.conv1,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,2526035.0,4.27488030327691,4.28269280327691,,,,1.8688218688112102e-06,0.060967449098825455,0.0037375474348664284,0.1924
layer3.1.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,2529018.25,4.279938167995876,4.287750667995876,,,,1.6042090464907233e-06,0.061126962304115295,0.003754660487174988,0.2033
layer4.0.conv1,Conv2d,"[512, 256, 3, 3]","[512, 2304]","[512, 2304]",0,0,1179648,4608.0,5068364.0,4.292599148220486,4.296505398220486,,,,1.4790761042604572e-06,0.061007048934698105,0.003744910703971982,0.2602
layer4.0.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,10217601.0,4.326877593994141,4.330783843994141,,,,1.1241723996135988e-06,0.06102752313017845,0.0037453696131706238,0.4087
layer4.0.downsample.0,Conv2d,"[512, 256, 1, 1]","[512, 256]","[512, 256]",0,0,131072,512.0,564886.0,4.3058319091796875,4.3097381591796875,,,,4.023223482363392e-06,0.06116447597742081,0.003743543988093734,0.2915
layer4.1.conv1,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,10194660.0,4.3171539306640625,4.3210601806640625,,,,1.1908872465937748e-06,0.060721807181835175,0.003746394533663988,0.445
layer4.1.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,9988094.0,4.229599846733941,4.233506096733941,,,,6.52353378427506e-07,0.06118016690015793,0.0037432152312248945,0.3642
fc,Linear,"[1000, 512]","[1000, 512]","[1000, 512]",0,0,512000,1024.0,2210894.75,4.31615380859375,4.31815380859375,,,,1.8068603822030127e-05,0.061197761446237564,0.0037451344542205334,0.3441
