task,qtip_key,nwc_key,qtip_bpp,nwc_bpp,abs_bpp_gap,qtip_score,nwc_score,diff_nwc_minus_qtip
arc_challenge,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.431740614334471,0.4052901023890785,-0.026450511945392496
arc_easy,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.7647306397306397,0.7424242424242424,-0.022306397306397274
boolq,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.7749235474006116,0.8012232415902141,0.02629969418960243
piqa,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.7551686615886833,0.764961915125136,0.009793253536452662
winogrande,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.6977111286503551,0.7048145224940805,0.007103393843725381
hellaswag,2.0,30.0,2.0,2.3015328621482833,0.30153286214828334,0.5341565425214101,0.5258912567217686,-0.008265285799641475
arc_challenge,3.0,75.0,3.0,2.9666457464202094,0.033354253579790605,0.4812286689419795,0.4803754266211604,-0.0008532423208191253
arc_easy,3.0,75.0,3.0,2.9666457464202094,0.033354253579790605,0.7958754208754208,0.7882996632996633,-0.007575757575757569
boolq,3.0,75.0,3.0,2.9666457464202094,0.033354253579790605,0.8143730886850153,0.8207951070336391,0.00642201834862377
piqa,3.0,75.0,3.0,2.9666457464202094,0.033354253579790605,0.7916213275299239,0.7845484221980413,-0.00707290533188254
winogrande,3.0,75.0,3.0,2.9666457464202094,0.033354253579790605,0.7300710339384373,0.7261247040252565,-0.003946329913180779
hellaswag,3.0,75.0,3.0,2.9666457464202094,0.033354253579790605,0.5850428201553476,0.5786695877315275,-0.006373232423820041
arc_challenge,4.0,300.0,4.0,3.954826640797994,0.04517335920200605,0.5017064846416383,0.5059726962457338,0.004266211604095571
arc_easy,4.0,300.0,4.0,3.954826640797994,0.04517335920200605,0.8009259259259259,0.8009259259259259,0.0
boolq,4.0,300.0,4.0,3.954826640797994,0.04517335920200605,0.8152905198776759,0.8085626911314985,-0.006727828746177389
piqa,4.0,300.0,4.0,3.954826640797994,0.04517335920200605,0.7932535364526659,0.794341675734494,0.0010881392818280489
winogrande,4.0,300.0,4.0,3.954826640797994,0.04517335920200605,0.734017363851618,0.7482241515390686,0.01420678768745065
hellaswag,4.0,300.0,4.0,3.954826640797994,0.04517335920200605,0.5977892850029874,0.5956980681139216,-0.0020912168890658833
arc_challenge,5.0,1000.0,5.0,4.77782450354873,0.22217549645127033,0.5085324232081911,0.5093856655290102,0.0008532423208190698
arc_easy,5.0,1000.0,5.0,4.77782450354873,0.22217549645127033,0.8042929292929293,0.8005050505050505,-0.0037878787878787845
boolq,5.0,1000.0,5.0,4.77782450354873,0.22217549645127033,0.8119266055045872,0.8064220183486238,-0.005504587155963359
piqa,5.0,1000.0,5.0,4.77782450354873,0.22217549645127033,0.7932535364526659,0.7981501632208923,0.004896626768226331
winogrande,5.0,1000.0,5.0,4.77782450354873,0.22217549645127033,0.7324388318863457,0.7419100236779794,0.009471191791633693
hellaswag,5.0,1000.0,5.0,4.77782450354873,0.22217549645127033,0.5983867755427206,0.5987851025692094,0.00039832702648878726
arc_challenge,6.0,10000.0,6.0,5.9810235201596065,0.018976479840393523,0.5085324232081911,0.5042662116040956,-0.004266211604095571
arc_easy,6.0,10000.0,6.0,5.9810235201596065,0.018976479840393523,0.8005050505050505,0.8017676767676768,0.0012626262626262985
boolq,6.0,10000.0,6.0,5.9810235201596065,0.018976479840393523,0.8134556574923547,0.8171253822629969,0.003669724770642202
piqa,6.0,10000.0,6.0,5.9810235201596065,0.018976479840393523,0.794341675734494,0.795429815016322,0.0010881392818280489
winogrande,6.0,10000.0,6.0,5.9810235201596065,0.018976479840393523,0.7419100236779794,0.7316495659037096,-0.010260457774269871
hellaswag,6.0,10000.0,6.0,5.9810235201596065,0.018976479840393523,0.5987851025692094,0.6020713005377415,0.003286197968532134
