Q_LEVEL,bin,sigma_mid,ortho_rel,m2m_med,pr_med,dist_to_RHT
0,all,,0.016783864408030615,9.255959510803223,2.9457733631134033,3.1153271198272705
0,0,0.016760652884840965,0.008395672905263031,9.36666202545166,2.873317241668701,3.188005208969116
0,1,0.14596839249134064,0.00754977789708847,9.356328010559082,2.8875458240509033,3.1747684478759766
0,2,0.7797738313674927,0.009222288372040118,9.339683532714844,2.900722026824951,3.15964937210083
0,3,1.0517431497573853,0.014024298050558087,9.310856819152832,2.9251182079315186,3.1349434852600098
0,4,1.6109601259231567,0.020625148285011316,9.140880584716797,2.969977855682373,3.096705913543701
1,all,,0.019375919111307236,3.9798617362976074,7.564451694488525,4.110146999359131
1,0,0.016760652884840965,0.012946940342570955,3.9750895500183105,7.523776054382324,4.137612342834473
1,1,0.14596839249134064,0.013425451364041255,3.9801299571990967,7.528701305389404,4.133589744567871
1,2,0.7797738313674927,0.015303984431295919,3.984022855758667,7.531768321990967,4.127824306488037
1,3,1.0517431497573853,0.01804063144904136,3.9849929809570312,7.543315887451172,4.118165016174316
1,4,1.6109601259231567,0.02140739068627786,3.977243423461914,7.581835746765137,4.102757453918457
2,all,,0.09925975941981663,2.5013554096221924,9.809112548828125,9.716044425964355
2,0,0.016760652884840965,0.09081728158707679,2.4994864463806152,9.7282133102417,9.900469779968262
2,1,0.14596839249134064,0.09624952768250386,2.5018980503082275,9.77644157409668,9.834524154663086
2,2,0.7797738313674927,0.09903446652140192,2.5013415813446045,9.79421615600586,9.792155265808105
2,3,1.0517431497573853,0.09965228518216912,2.500554323196411,9.805329322814941,9.746149063110352
2,4,1.6109601259231567,0.09942428487683225,2.5015041828155518,9.814464569091797,9.686800003051758
3,all,,0.13547729963827385,2.4867708683013916,9.707855224609375,11.746545791625977
3,0,0.016760652884840965,0.1364104412434116,2.478890895843506,9.72751522064209,11.952412605285645
3,1,0.14596839249134064,0.13665854739339064,2.465322494506836,9.683732986450195,11.886334419250488
3,2,0.7797738313674927,0.13662281539045684,2.4720895290374756,9.693321228027344,11.83646011352539
3,3,1.0517431497573853,0.1359342117092292,2.4823102951049805,9.703568458557129,11.78172779083252
3,4,1.6109601259231567,0.13511858289073583,2.492664098739624,9.711295127868652,11.711857795715332
