transform,channel,sigma_in,PR_mean,PR_std
no_transform,0,0.007092646323144436,1.0,0.0
no_transform,1,0.01453724317252636,1.0,0.0
no_transform,2,0.021606387570500374,1.0,0.0
no_transform,3,0.052728645503520966,1.0,0.0
no_transform,4,0.10722824931144714,1.0,0.0
no_transform,5,0.19229501485824585,1.0,0.0
no_transform,6,0.6651747226715088,1.0,0.0
no_transform,7,0.7466950416564941,1.0,0.0
no_transform,8,0.8124160766601562,1.0,0.0
no_transform,9,0.8820891380310059,1.0,0.0
no_transform,10,0.9755203127861023,1.0,0.0
no_transform,11,1.1584395170211792,1.0,0.0
no_transform,12,1.4185125827789307,1.0,0.0
no_transform,13,1.5445199012756348,1.0,0.0
no_transform,14,1.714985728263855,1.0,0.0
no_transform,15,4.554314613342285,1.0,0.0
scaling,0,0.007092646323144436,1.0,0.0
scaling,1,0.01453724317252636,1.0,0.0
scaling,2,0.021606387570500374,1.0,0.0
scaling,3,0.052728645503520966,1.0,0.0
scaling,4,0.10722824931144714,1.0,0.0
scaling,5,0.19229501485824585,1.0,0.0
scaling,6,0.6651747226715088,1.0,0.0
scaling,7,0.7466950416564941,1.0,0.0
scaling,8,0.8124160766601562,1.0,0.0
scaling,9,0.8820891380310059,1.0,0.0
scaling,10,0.9755203127861023,1.0,0.0
scaling,11,1.1584395170211792,1.0,0.0
scaling,12,1.4185125827789307,1.0,0.0
scaling,13,1.5445199012756348,1.0,0.0
scaling,14,1.714985728263855,1.0,0.0
scaling,15,4.554314613342285,1.0,0.0
rht,0,0.007092646323144436,16.0,0.0
rht,1,0.01453724317252636,16.0,0.0
rht,2,0.021606387570500374,16.0,0.0
rht,3,0.052728645503520966,16.0,0.0
rht,4,0.10722824931144714,16.0,0.0
rht,5,0.19229501485824585,16.0,0.0
rht,6,0.6651747226715088,16.0,0.0
rht,7,0.7466950416564941,16.0,0.0
rht,8,0.8124160766601562,16.0,0.0
rht,9,0.8820891380310059,16.0,0.0
rht,10,0.9755203127861023,16.0,0.0
rht,11,1.1584395170211792,16.0,0.0
rht,12,1.4185125827789307,16.0,0.0
rht,13,1.5445199012756348,16.0,0.0
rht,14,1.714985728263855,16.0,0.0
rht,15,4.554314613342285,16.0,0.0
learned_llama,0,0.007092646323144436,7.5327582359313965,0.04413712024688721
learned_llama,1,0.01453724317252636,5.218387126922607,0.05831386148929596
learned_llama,2,0.021606387570500374,5.791793346405029,0.053550418466329575
learned_llama,3,0.052728645503520966,8.4066801071167,0.04517919197678566
learned_llama,4,0.10722824931144714,7.7924580574035645,0.0374026745557785
learned_llama,5,0.19229501485824585,8.316956520080566,0.07638519257307053
learned_llama,6,0.6651747226715088,6.421820640563965,0.05074445158243179
learned_llama,7,0.7466950416564941,5.132309436798096,0.05418286845088005
learned_llama,8,0.8124160766601562,9.441669464111328,0.04863292723894119
learned_llama,9,0.8820891380310059,5.146175861358643,0.08766867220401764
learned_llama,10,0.9755203127861023,12.742829322814941,0.05242379754781723
learned_llama,11,1.1584395170211792,5.757961750030518,0.057999446988105774
learned_llama,12,1.4185125827789307,9.748868942260742,0.04364011064171791
learned_llama,13,1.5445199012756348,6.441721439361572,0.04756661504507065
learned_llama,14,1.714985728263855,9.988744735717773,0.03110128454864025
learned_llama,15,4.554314613342285,9.001919746398926,0.04057672247290611
learned_gauss,0,0.007092646323144436,9.798954963684082,0.10625392198562622
learned_gauss,1,0.01453724317252636,13.002058982849121,0.15493032336235046
learned_gauss,2,0.021606387570500374,10.00312328338623,0.15883535146713257
learned_gauss,3,0.052728645503520966,8.562376976013184,0.055305708199739456
learned_gauss,4,0.10722824931144714,11.226994514465332,0.08160866051912308
learned_gauss,5,0.19229501485824585,11.095587730407715,0.07010156661272049
learned_gauss,6,0.6651747226715088,11.534977912902832,0.06333716958761215
learned_gauss,7,0.7466950416564941,11.328228950500488,0.08686815202236176
learned_gauss,8,0.8124160766601562,10.716206550598145,0.08358702063560486
learned_gauss,9,0.8820891380310059,10.717527389526367,0.11927004158496857
learned_gauss,10,0.9755203127861023,9.991415023803711,0.1504373550415039
learned_gauss,11,1.1584395170211792,10.684587478637695,0.08336369693279266
learned_gauss,12,1.4185125827789307,10.927157402038574,0.16055545210838318
learned_gauss,13,1.5445199012756348,9.548925399780273,0.08535151183605194
learned_gauss,14,1.714985728263855,10.913976669311523,0.17800478637218475
learned_gauss,15,4.554314613342285,11.369935035705566,0.09455341100692749
random_init,0,0.007092646323144436,10.662943840026855,1.1820225715637207
random_init,1,0.01453724317252636,10.416577339172363,1.1484053134918213
random_init,2,0.021606387570500374,11.360965728759766,1.087944746017456
random_init,3,0.052728645503520966,10.672396659851074,1.071628451347351
random_init,4,0.10722824931144714,10.859354972839355,1.17791748046875
random_init,5,0.19229501485824585,11.2122220993042,1.0798048973083496
random_init,6,0.6651747226715088,10.53005599975586,0.9986898303031921
random_init,7,0.7466950416564941,11.816929817199707,0.9908967614173889
random_init,8,0.8124160766601562,10.6148681640625,1.1404608488082886
random_init,9,0.8820891380310059,10.113119125366211,1.3458272218704224
random_init,10,0.9755203127861023,10.229015350341797,1.0932921171188354
random_init,11,1.1584395170211792,11.319305419921875,1.1607372760772705
random_init,12,1.4185125827789307,10.656609535217285,1.111515998840332
random_init,13,1.5445199012756348,11.601871490478516,1.2587796449661255
random_init,14,1.714985728263855,10.827144622802734,1.1771644353866577
random_init,15,4.554314613342285,10.828003883361816,1.1810123920440674
